LD,Flow,IsB,Epi,Height,Mean,se
Dark,0,B,with,0,-0.036576809,0.005910189
Dark,0,B,without,0,-0.026073056,0.003826579
Dark,0,B,with,0.5,-0.017629611,0.003170761
Dark,0,B,without,0.5,-0.016443652,0.002663923
Dark,0,B,with,1,-0.010048554,0.002102343
Dark,0,B,without,1,-0.00943153,0.002153169
Dark,0,B,with,1.5,-0.004867574,0.001005313
Dark,0,B,without,1.5,-0.005333612,0.00197418
Dark,0,B,with,2,-0.003140058,0.000727362
Dark,0,B,without,2,-0.003605354,0.001367363
Dark,0,B,with,3,-0.001397898,0.000571355
Dark,0,B,without,3,-0.002715833,0.001206685
Dark,0,B,with,4,-0.001018235,0.000749181
Dark,0,B,without,4,-0.002491941,0.001281839
Dark,0,B,with,5,-0.002974901,0.002334152
Dark,0,B,without,5,-0.00346065,0.002097281
Dark,0,B,with,6,0.000559319,0.000559319
Dark,0,B,without,6,-0.002516938,0.002516938
Dark,0,IS,with,0,-0.113244953,0.01175856
Dark,0,IS,without,0,-0.099182868,0.009463607
Dark,0,IS,with,0.5,-0.111469686,0.011541628
Dark,0,IS,without,0.5,-0.099037242,0.009380294
Dark,0,IS,with,1,-0.100008046,0.011155691
Dark,0,IS,without,1,-0.094467959,0.00963704
Dark,0,IS,with,1.5,-0.099384996,0.011314798
Dark,0,IS,without,1.5,-0.086559898,0.009364582
Dark,0,IS,with,2,-0.096219165,0.011551064
Dark,0,IS,without,2,-0.076014607,0.009218213
Dark,0,IS,with,3,-0.076218975,0.011991756
Dark,0,IS,without,3,-0.061197281,0.00828212
Dark,0,IS,with,4,-0.063315691,0.011795342
Dark,0,IS,without,4,-0.047240246,0.007183552
Dark,0,IS,with,5,-0.044514314,0.009643243
Dark,0,IS,without,5,-0.032754131,0.005259378
Dark,0,IS,with,6,-0.027435972,0.006466855
Dark,0,IS,without,6,-0.023689474,0.004933269
Dark,0,IS,with,8,-0.010274223,0.002852912
Dark,0,IS,without,8,-0.014216001,0.00432992
Dark,0,IS,with,10,-0.004333686,0.00161794
Dark,0,IS,without,10,-0.008045283,0.003493764
Dark,0,IS,with,13,-0.002378696,0.001277606
Dark,0,IS,without,13,-0.00438565,0.003000319
Dark,0,IS,with,18,-0.001439051,0.000654964
Dark,0,IS,without,18,-0.002097448,0.001588162
Dark,0,IS,with,23,0,0
Dark,0,IS,without,23,0,0
Dark,2,IS,with,0,-0.022594495,0.004760116
Dark,2,IS,without,0,-0.033043698,0.007425483
Dark,2,IS,with,0.5,-0.011800883,0.00392905
Dark,2,IS,without,0.5,-0.018080851,0.004843051
Dark,2,IS,with,1,-0.010650107,0.004231494
Dark,2,IS,without,1,-0.010503666,0.004242973
Dark,2,IS,with,1.5,-0.01118639,0.006228318
Dark,2,IS,without,1.5,-0.011745709,0.010067751
Dark,2,IS,with,2,-0.003691717,0.001455685
Dark,2,IS,without,2,-0.006427889,0.00379008
Dark,2,IS,with,3,-0.001294314,0.000652771
Dark,2,IS,without,3,-0.000528034,0.000282071
Dark,2,B,with,0,-0.006714505,0.001510496
Dark,2,B,without,0,-0.005876454,0.001244287
Dark,2,B,with,0.5,-0.000740292,0.000310442
Dark,2,B,without,0.5,-0.001530958,0.000827528
Dark,2,B,with,1,0.000144017,0.000143885
Dark,2,B,without,1,-9.92E-05,0.000254882
Dark,2,B,with,2,4.97E-05,0.000150155
Dark,2,B,without,2,-9.88E-05,0.000157448
Dark,2,B,with,3,0,0
Dark,2,B,without,3,0,0
Dark,15,B,with,0,0.000143265,0.000325908
Dark,15,B,without,0,-0.000888035,0.00071248
Dark,15,B,with,0.5,0.00049383,0.000181086
Dark,15,B,without,0.5,0.000641704,0.000235051
Dark,15,B,with,1,9.60E-05,9.59E-05
Dark,15,B,without,1,0.000296078,0.000260007
Dark,15,B,with,2,0,0
Dark,15,B,without,2,0.000394863,0.000142738
Dark,15,B,with,3,0,0
Dark,15,B,without,3,0,0
Dark,15,IS,with,0,-0.004507685,0.001342503
Dark,15,IS,without,0,-0.003788899,0.001316592
Dark,15,IS,with,0.5,-0.001579486,0.000722363
Dark,15,IS,without,0.5,0.000144338,0.000735742
Dark,15,IS,with,1,-0.000672016,0.000511578
Dark,15,IS,without,1,0.000287345,0.000624792
Dark,15,IS,with,2,-9.62E-05,0.00018133
Dark,15,IS,without,2,0.00019204,0.000582795
Dark,15,IS,with,3,-0.000254236,0.000264516
Dark,15,IS,without,3,0.000383533,0.000383533
Light,15,IS,with,0,0.009457193,0.001971592
Light,15,IS,without,0,0.016034969,0.004079467
Light,15,IS,with,0.5,0.004800812,0.001312314
Light,15,IS,without,0.5,0.00874039,0.002743225
Light,15,IS,with,1,0.002111822,0.000628304
Light,15,IS,without,1,0.005090122,0.002177523
Light,15,IS,with,2,0.001151819,0.000399732
Light,15,IS,without,2,0.001583645,0.000998202
Light,15,IS,with,3,0,0
Light,15,IS,without,3,0.000624474,0.000529989
Light,15,B,with,0,0.00212758,0.000982774
Light,15,B,without,0,0.001088242,0.000234166
Light,15,B,with,0.5,0.000444989,0.000129105
Light,15,B,without,0.5,0.000197819,0.000118008
Light,15,B,with,1,0.000197654,0.000118017
Light,15,B,without,1,0.000148335,0.000109188
Light,15,B,with,2,5.07E-05,8.91E-05
Light,15,B,without,2,9.89E-05,6.89E-05
Light,15,B,with,3,0,0
Light,15,B,without,3,0,0
Light,2,B,with,0,0.004996149,0.001706951
Light,2,B,without,0,0.00786785,0.004505216
Light,2,B,with,0.5,0.001434978,0.000341817
Light,2,B,without,0.5,0.001187193,0.000344454
Light,2,B,with,1,0.000345841,0.000155127
Light,2,B,without,1,0.000247582,0.000202477
Light,2,B,with,2,0.000197621,0.000137697
Light,2,B,without,2,-0.000148319,0.000148387
Light,2,B,with,3,0,0
Light,2,B,without,3,-4.94E-05,4.94E-05
Light,2,IS,with,0,0.038385767,0.008928829
Light,2,IS,without,0,0.051330661,0.010127637
Light,2,IS,with,0.5,0.010999986,0.002590671
Light,2,IS,without,0.5,0.019833419,0.005344385
Light,2,IS,with,1,0.004418048,0.001288734
Light,2,IS,without,1,0.011764801,0.004294618
Light,2,IS,with,2,0.003359204,0.00115387
Light,2,IS,without,2,0.006960154,0.002615246
Light,2,IS,with,3,0.000431748,0.000198719
Light,2,IS,without,3,0.002689727,0.001734936
Light,0,IS,with,0,0.207803871,0.026125095
Light,0,IS,without,0,0.27360798,0.029117707
Light,0,IS,with,0.5,0.187248318,0.023677656
Light,0,IS,without,0.5,0.244454264,0.022691894
Light,0,IS,with,1,0.15769488,0.023629581
Light,0,IS,without,1,0.205622213,0.020112587
Light,0,IS,with,1.5,0.13519717,0.021530918
Light,0,IS,without,1.5,0.168701742,0.020074684
Light,0,IS,with,2,0.117169695,0.020092866
Light,0,IS,without,2,0.129658004,0.019737517
Light,0,IS,with,3,0.081474027,0.017000396
Light,0,IS,without,3,0.09205242,0.015544078
Light,0,IS,with,4,0.056253448,0.013991428
Light,0,IS,without,4,0.065741538,0.014316357
Light,0,IS,with,5,0.031670304,0.006988687
Light,0,IS,without,5,0.049104288,0.012071817
Light,0,IS,with,6,0.024918609,0.006765039
Light,0,IS,without,6,0.038062719,0.011947549
Light,0,IS,with,8,0.008156549,0.003921568
Light,0,IS,without,8,0.014730724,0.006201819
Light,0,IS,with,10,0.00297788,0.002169472
Light,0,IS,without,10,0.013334945,0.005412506
Light,0,IS,with,13,0.000349623,0.000899699
Light,0,IS,without,13,0.007226833,0.00303082
Light,0,IS,with,18,0.000841421,0.000629944
Light,0,IS,without,18,0.004823444,0.003132427
Light,0,IS,with,23,0,0
Light,0,IS,without,23,0,0
Light,0,B,with,0,0.054434565,0.013390956
Light,0,B,without,0,0.038667858,0.009044152
Light,0,B,with,0.5,0.050103511,0.011909199
Light,0,B,without,0.5,0.029761811,0.007955385
Light,0,B,with,1,0.028242514,0.008303141
Light,0,B,without,1,0.020960744,0.006312358
Light,0,B,with,1.5,0.016280025,0.005145515
Light,0,B,without,1.5,0.012218879,0.004570699
Light,0,B,with,2,0.011003572,0.003666243
Light,0,B,without,2,0.017052833,0.007431949
Light,0,B,with,3,0.006227962,0.002296
Light,0,B,without,3,0.003707779,0.004194792
Light,0,B,with,4,0.006412657,0.002445032
Light,0,B,without,4,0.000218209,0.001607863
Light,0,B,with,5,0.003084754,0.002751584
Light,0,B,without,5,-0.005173901,0.004567562
Light,0,B,with,6,-0.000840098,0.001608665
Light,0,B,without,6,-0.002100245,0.00352274
Light,0,B,with,8,-0.002520294,0.001455093
Light,0,B,without,8,-2.66E-18,0.000685937
Light,0,B,with,10,0.003927004,0.003927004
Light,0,B,without,10,0.002800327,0.006458989
