LD,Flow,IsB,Epi,Height,Mean,se
Dark,Static,B,with,0,70.21108545,4.01521401
Dark,Static,B,without,0,75.89634305,3.778526281
Dark,Static,B,with,0.25,70.85978348,4.01829073
Dark,Static,B,without,0.25,77.99791976,3.861617505
Dark,Static,B,with,0.5,76.23374437,3.788029626
Dark,Static,B,without,0.5,84.38082159,3.416514609
Dark,Static,B,with,0.75,81.41590427,3.396582937
Dark,Static,B,without,0.75,88.86959151,2.971249898
Dark,Static,B,with,1,85.92687836,2.719467238
Dark,Static,B,without,1,91.81374862,2.581586127
Dark,Static,B,with,1.5,90.31950523,2.091079973
Dark,Static,B,without,1.5,94.93620906,1.945163465
Dark,Static,B,with,2,93.70984467,1.382582908
Dark,Static,B,without,2,96.52855968,1.510262708
Dark,Static,B,with,2.5,96.39064982,0.880048269
Dark,Static,B,without,2.5,96.79506979,1.459104851
Dark,Static,B,with,3,97.43350037,0.734609192
Dark,Static,B,without,3,97.18318288,1.38809416
Dark,Static,B,with,4,97.67472458,0.843579197
Dark,Static,B,without,4,98.17688136,0.912596393
Dark,Static,B,with,5,97.67401454,1.016020226
Dark,Static,B,without,5,99.04421949,0.535487195
Dark,Static,B,with,6,98.26875867,1.280058751
Dark,Static,B,without,6,99.35462872,0.253217665
Dark,Static,B,with,7,98.426922,1.105350416
Dark,Static,B,without,7,99.59861305,0.180788604
Dark,Static,B,with,9,99.31054658,0.423770132
Dark,Static,B,without,9,99.56659415,0.163867206
Dark,Static,B,with,11,99.77578722,0.133301157
Dark,Static,B,without,11,99.65511455,0.116003011
Dark,Static,B,with,14,100.1420567,0.084636897
Dark,Static,B,without,14,99.88384531,0.084224994
Dark,Static,B,with,17,99.96554026,0.087351244
Dark,Static,B,without,17,99.9983157,0.119873138
Dark,Static,B,with,22,100.001545,0.087589232
Dark,Static,B,without,22,99.76033057,0.114447802
Dark,Static,IS,with,0,50.71521178,4.575233573
Dark,Static,IS,without,0,48.96681178,5.014067234
Dark,Static,IS,with,0.25,51.14509951,4.740631193
Dark,Static,IS,without,0.25,49.69506793,5.170860142
Dark,Static,IS,with,0.5,52.87077898,4.716566652
Dark,Static,IS,without,0.5,52.40274308,5.200675187
Dark,Static,IS,with,0.75,55.74744673,4.833077963
Dark,Static,IS,without,0.75,54.69986184,5.20959136
Dark,Static,IS,with,1,57.19080469,4.977772951
Dark,Static,IS,without,1,56.31710824,5.182818223
Dark,Static,IS,with,1.5,58.50315809,4.943729393
Dark,Static,IS,without,1.5,59.1940736,5.087846853
Dark,Static,IS,with,2,59.53103005,5.091201539
Dark,Static,IS,without,2,62.25194121,5.020401206
Dark,Static,IS,with,2.5,60.89495468,5.017537193
Dark,Static,IS,without,2.5,64.36732342,5.012862308
Dark,Static,IS,with,3,61.59091172,4.973029442
Dark,Static,IS,without,3,66.78823393,4.937638635
Dark,Static,IS,with,4,65.12144572,4.622229325
Dark,Static,IS,without,4,71.85797109,4.828302002
Dark,Static,IS,with,5,71.20244483,4.204949524
Dark,Static,IS,without,5,78.69179527,4.24133322
Dark,Static,IS,with,6,76.68421924,3.849631456
Dark,Static,IS,without,6,85.27239127,3.849352819
Dark,Static,IS,with,7,81.48772548,3.71580916
Dark,Static,IS,without,7,90.99046813,3.232082715
Dark,Static,IS,with,9,88.87042199,2.553068724
Dark,Static,IS,without,9,94.13547598,2.672724061
Dark,Static,IS,with,11,94.76189605,1.780619464
Dark,Static,IS,without,11,98.04481787,0.848392105
Dark,Static,IS,with,14,98.11240653,1.028763246
Dark,Static,IS,without,14,99.26176035,0.35968614
Dark,Static,IS,with,17,98.99764688,0.862730901
Dark,Static,IS,without,17,99.86875362,0.235656663
Dark,Static,IS,with,22,99.8249089,0.251531464
Dark,Static,IS,without,22,100.0691033,0.081397618
Dark,Low,IS,with,0,89.92269253,3.151494929
Dark,Low,IS,without,0,87.1116334,3.314934723
Dark,Low,IS,with,0.25,90.31317381,3.216297255
Dark,Low,IS,without,0.25,87.52639454,3.2313719
Dark,Low,IS,with,0.5,90.27549922,3.244254231
Dark,Low,IS,without,0.5,90.50553968,2.507383775
Dark,Low,IS,with,0.75,89.89725949,3.564662325
Dark,Low,IS,without,0.75,92.50202763,2.08400858
Dark,Low,IS,with,1,91.17341829,3.326750166
Dark,Low,IS,without,1,94.14713463,1.608150422
Dark,Low,IS,with,1.5,92.576528,3.008957482
Dark,Low,IS,without,1.5,95.37660203,1.127241531
Dark,Low,IS,with,2,93.79228935,2.423570539
Dark,Low,IS,without,2,95.57363732,1.092280043
Dark,Low,IS,with,2.5,95.11296748,1.74726357
